date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:42:20	85/85	---MCZ	200	added ('OK')	text/plain	etag:W/%228a56e14bfdedc7ad38055f6c9fa98817%22	https://victoriollc.renderforestsites.com/robots.txt		(from )
12:42:20	70308/70308	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202024%2018:31:31%20GMT	https://victoriollc.renderforestsites.com/	C:/My%20Web%20Sites/victoriollc/victoriollc.renderforestsites.com/index.html	(from )
12:42:21	81772/81772	---M--	200	added ('OK')	image/jpeg	etag:%2228cd80fbce03a9028c0d15970a7fc193%22	https://hosting.renderforestsites.com/26260726/1289054/media/43d31c9741fa68e43353c54bbd88ed75.jpg	C:/My%20Web%20Sites/victoriollc/hosting.renderforestsites.com/26260726/1289054/media/43d31c9741fa68e43353c54bbd88ed75.jpg	(from https://victoriollc.renderforestsites.com/)
12:42:21	3639/3639	---M--	200	added ('OK')	image/png	etag:%226fbb61b565199099ddebe2d6dd6089eb%22	https://hosting.renderforestsites.com/26260726/1289054/media/bfa6b0bf5655e2fed837dd089f154da9.png	C:/My%20Web%20Sites/victoriollc/hosting.renderforestsites.com/26260726/1289054/media/bfa6b0bf5655e2fed837dd089f154da9.png	(from https://victoriollc.renderforestsites.com/)
12:42:22	9394/9394	---MCZ	200	added ('OK')	text/css	etag:W/%2269c1c2e69f0f622145abe1ed08106969%22	https://victoriollc.renderforestsites.com/main-m367s9vg.css	C:/My%20Web%20Sites/victoriollc/victoriollc.renderforestsites.com/main-m367s9vg.css	(from https://victoriollc.renderforestsites.com/)
12:42:22	1829291/1829291	---M--	200	added ('OK')	image/jpeg	etag:%22686780a8d2a007f8cb9d0ca50f6b53dd%22	https://hosting.renderforestsites.com/26260726/1289054/media/017b1a9fa7e1d98e6cd332d3eb7a11fa.jpg	C:/My%20Web%20Sites/victoriollc/hosting.renderforestsites.com/26260726/1289054/media/017b1a9fa7e1d98e6cd332d3eb7a11fa.jpg	(from https://victoriollc.renderforestsites.com/)
12:42:23	520572/520572	---M--	200	added ('OK')	image/jpeg	etag:%226a60dd8f5716f815ee96e08ff420c347%22	https://hosting.renderforestsites.com/26260726/1289054/media/b24233756f602fbea49de6acfd8bae9d.jpg	C:/My%20Web%20Sites/victoriollc/hosting.renderforestsites.com/26260726/1289054/media/b24233756f602fbea49de6acfd8bae9d.jpg	(from https://victoriollc.renderforestsites.com/)
12:42:23	163434/163434	---MCZ	200	added ('OK')	text/css	etag:W/%225b10af9181a6dae67030dbca95d7a998%22	https://victoriollc.renderforestsites.com/rf_fonts/v1/fonts.css	C:/My%20Web%20Sites/victoriollc/victoriollc.renderforestsites.com/rf_fonts/v1/fonts.css	(from https://victoriollc.renderforestsites.com/)
12:42:23	6868/6868	---MCZ	200	added ('OK')	application/javascript	etag:W/%226ccd5e04af09505b14184703ff98ae56%22	https://victoriollc.renderforestsites.com/builtIcons-m367s9vg.js	C:/My%20Web%20Sites/victoriollc/victoriollc.renderforestsites.com/builtIcons-m367s9vg.js	(from https://victoriollc.renderforestsites.com/)
12:42:23	23347/23347	---M--	200	added ('OK')	image/jpeg	etag:%22ee226314c93ff6791293bb6a0b8d7a4a%22	https://hosting.renderforestsites.com/26260726/1289054/media/c55e9350c50a70b1a551e52ae14920ae.jpg	C:/My%20Web%20Sites/victoriollc/hosting.renderforestsites.com/26260726/1289054/media/c55e9350c50a70b1a551e52ae14920ae.jpg	(from https://victoriollc.renderforestsites.com/)
12:42:24	7684/7684	---M--	200	added ('OK')	binary/octet-stream	etag:%22233f11f4abddb437333de33b6f708792%22	https://victoriollc.renderforestsites.com/rf_fonts/v1/56df9c8b-550d-4475-9619-bdf51a2b8aa1.woff2	C:/My%20Web%20Sites/victoriollc/victoriollc.renderforestsites.com/rf_fonts/v1/56df9c8b-550d-4475-9619-bdf51a2b8aa1.woff2	(from https://victoriollc.renderforestsites.com/rf_fonts/v1/fonts.css)
